"Name;";"PosX;";"PosY;";"Time;"
6;-0,01;-0,01;370,5859
6;-0,01;-0,01;371,0869
6;-0,02;0,01;371,5882
6;-0,04;0,02;372,0893
6;-0,05;0,04;372,5915
6;-0,07;0,05;373,0921
6;-0,08;0,06;373,5951
6;-0,09;0,08;374,0958
6;-0,11;0,09;374,6194
6;-0,12;0,09999999;375,121
6;-0,13;0,11;375,6269
6;-0,13;0,12;376,1341
6;-0,12;0,12;376,6461
6;-0,13;0,12;377,1499
6;-0,13;0,11;377,653
6;-0,13;0,11;378,1553
6;-0,13;0,11;378,667
6;-0,13;0,11;379,1692
6;-0,13;0,11;379,6833
6;-0,13;0,11;380,1855
6;-0,13;0,11;380,6881
6;-0,13;0,11;381,1893
6;-0,14;0,09999999;381,691
6;-0,12;0,09;382,1955
6;-0,12;0,07;382,7087
6;-0,11;0,06;383,2155
6;-0,09;0,05;383,7165
6;-0,08;0,04;384,2346
6;-0,07;0,03;384,7359
6;-0,05;0,02;385,2394
6;-0,04;0,02;385,7426
6;-0,03;0,01;386,2445
6;-0,03;0;386,7456
6;-0,02;0,01;387,2464
6;-0,01;0;387,747
6;0;-0,01;388,2484
6;0;-0,01;388,7495
6;0;-0,01;389,2516
6;0,01;0;389,7541
6;0,02;0,01;390,2565
6;0,03;0,01;390,758
6;0,04;0,02;391,2593
6;0,05;0,03;391,7598
6;0,06;0,03;392,2607
6;0,07;0,03;392,7612
6;0,06;0,04;393,2633
6;0,06;0,04;393,765
6;0,06;0,04;394,2655
6;0,06;0,04;394,7668
6;0,06;0,04;395,2796
6;0,06;0,04;395,7814
6;0,05;0,04;396,2834
6;0,04;0,02;396,7847
6;0,03;0,01;397,2859
6;0,03;0;397,7881
6;0,03;-0,02;398,2889
6;0,03;-0,03;398,7895
6;0,04;-0,04;399,2911
6;0,04;-0,06;399,7933
6;0,04;-0,07;400,2945
6;0,05;-0,07;400,7954
6;0,05;-0,09;401,2966
6;0,05;-0,09999999;401,7979
6;0,05;-0,09999999;402,2993
6;0,05;-0,09999999;402,8009
6;0,05;-0,11;403,3021
6;0,05;-0,11;403,8037
6;0,05;-0,11;404,3051
6;0,05;-0,11;404,8206
6;0,05;-0,11;405,3361
6;0,05;-0,11;405,8372
6;0,05;-0,11;406,3379
6;0,05;-0,11;406,8391
6;0,05;-0,11;407,343
6;0,05;-0,11;407,8529
6;0,05;-0,11;408,354
6;0,05;-0,11;408,8557
6;0,05;-0,11;409,3575
6;0,05;-0,11;409,858
6;0,05;-0,11;410,3594
6;0,05;-0,11;410,8611
6;0,05;-0,11;411,3618
6;0,05;-0,11;411,863
6;0,05;-0,11;412,3643
6;0,05;-0,11;412,8704
6;0,05;-0,11;413,3809
6;0,05;-0,11;413,8817
6;0,05;-0,11;414,3836
6;0,05;-0,11;414,8842
6;0,05;-0,11;415,3862
6;0,05;-0,11;415,8862
6;0,05;-0,11;416,3878
6;0,05;-0,11;416,889
6;0,05;-0,11;417,3912
6;0,05;-0,11;417,8936
6;0,05;-0,11;418,3956
6;0,05;-0,11;418,8973
6;0,05;-0,11;419,3974
6;0,05;-0,11;419,8985
6;0,05;-0,11;420,3999
6;0,05;-0,11;420,9016
6;0,05;-0,11;421,4023
6;0,05;-0,11;421,9041
6;0,05;-0,11;422,4061
6;0,05;-0,11;422,9061
6;0,05;-0,11;423,4084
6;0,05;-0,11;423,9099
6;0,05;-0,11;424,4108
6;0,05;-0,11;424,9115
6;0,05;-0,11;425,4118
6;0,05;-0,11;425,9125
6;0,05;-0,11;426,4144
6;0,05;-0,11;426,9145
6;0,05;-0,11;427,4178
6;0,05;-0,11;427,9313
6;0,05;-0,11;428,4315
6;0,05;-0,11;428,9331
6;0,05;-0,11;429,4339
6;0,05;-0,11;429,9344
6;0,05;-0,11;430,4364
6;0,05;-0,11;430,9385
6;0,05;-0,11;431,4396
6;0,05;-0,11;431,9411
6;0,05;-0,11;432,4413
6;0,05;-0,11;432,9432
6;0,04;-0,09999999;433,444
6;0,04;-0,11;433,9458
6;0,04;-0,12;434,4468
6;0,04;-0,13;434,9481
6;0,04;-0,14;435,4491
6;0,03;-0,14;435,9519
