Name, PositionX, PositionY, RunTime
TestPerson1;-0,05;-0,05;136,1256
TestPerson1;-0,05;-0,05;136,6333
TestPerson1;-0,05;-0,05;137,1372
TestPerson1;-0,04;-0,05;137,6379
TestPerson1;-0,04;-0,05;138,1415
TestPerson1;-0,05;-0,05;138,6653
TestPerson1;-0,05;-0,05;139,1696
TestPerson1;-0,04;-0,05;139,6725
TestPerson1;-0,04;-0,05;140,1752
TestPerson1;-0,04;-0,05;140,6772
TestPerson1;-0,04;-0,05;141,191
TestPerson1;-0,04;-0,05;141,7042
TestPerson1;-0,04;-0,05;142,2051
TestPerson1;-0,04;-0,05;142,7093
TestPerson1;-0,04;-0,05;143,2229
TestPerson1;-0,04;-0,05;143,7332
TestPerson1;-0,04;-0,06;144,2373
TestPerson1;-0,04;-0,06;144,7411
TestPerson1;-0,04;-0,05;145,2643
TestPerson1;-0,04;-0,05;145,7684
TestPerson1;-0,04;-0,05;146,2709
TestPerson1;-0,04;-0,05;146,7736
TestPerson1;-0,04;-0,05;147,2746
TestPerson1;-0,05;-0,05;147,7901
TestPerson1;-0,05;-0,06;148,2927
TestPerson1;-0,05;-0,06;148,7957
TestPerson1;-0,05;-0,06;149,2972
TestPerson1;-0,05;-0,06;149,8019
TestPerson1;-0,05;-0,06;150,3045
TestPerson1;-0,05;-0,06;150,8063
TestPerson1;-0,05;-0,06;151,3069
TestPerson1;-0,05;-0,06;151,8086
TestPerson1;-0,05;-0,06;152,3105
TestPerson1;-0,05;-0,06;152,8124
TestPerson1;-0,05;-0,06;153,3158
TestPerson1;-0,05;-0,06;153,8285
TestPerson1;-0,05;-0,06;154,3317
TestPerson1;-0,05;-0,06;154,8437
TestPerson1;-0,05;-0,06;155,3472
TestPerson1;0;0;156,0209
